image,output_key,region,section_id,mouse_id,genotype,condition,panel,module_id,region_area_um2,morph_tissue_positive_area_um2,morph_airspace_positive_area_um2,morph_measured_positive_area_um2,morph_aircomp_positive_area_um2,morph_aircomp_n_components,morph_airbig_positive_area_um2,class_morph_perimeterum_count,class_morph_chordlen000um_count,class_morph_chordn000_count,class_morph_chordlen045um_count,class_morph_chordn045_count,class_morph_chordlen090um_count,class_morph_chordn090_count,class_morph_chordlen135um_count,class_morph_chordn135_count,class_morph_testlineum_count,class_morph_transition_count,class_morph_chordtruncn_count,class_morph_chordtrunclenum_count,class_morph_septaldistum_count,class_morph_septalpx_count,class_morph_airdistum_count,class_morph_airpx_count,class_morph_sdist_b00_count,class_morph_adist_b00_count,class_morph_sdist_b01_count,class_morph_adist_b01_count,class_morph_sdist_b02_count,class_morph_adist_b02_count,class_morph_sdist_b03_count,class_morph_adist_b03_count,class_morph_sdist_b04_count,class_morph_adist_b04_count,class_morph_sdist_b05_count,class_morph_adist_b05_count,class_morph_sdist_b06_count,class_morph_adist_b06_count,class_morph_sdist_b07_count,class_morph_adist_b07_count,class_morph_sdist_b08_count,class_morph_adist_b08_count,class_morph_sdist_b09_count,class_morph_adist_b09_count,class_morph_sdist_b10_count,class_morph_adist_b10_count,class_morph_sdist_b11_count,class_morph_adist_b11_count,class_morph_sdist_b12_count,class_morph_adist_b12_count,class_morph_sdist_b13_count,class_morph_adist_b13_count,class_morph_sdist_b14_count,class_morph_adist_b14_count,class_morph_sdist_b15_count,class_morph_adist_b15_count,class_morph_sdist_b16_count,class_morph_adist_b16_count,class_morph_sdist_b17_count,class_morph_adist_b17_count,class_morph_sdist_b18_count,class_morph_adist_b18_count,class_morph_sdist_b19_count,class_morph_adist_b19_count,class_morph_sdist_b20_count,class_morph_adist_b20_count,class_morph_sdist_b21_count,class_morph_adist_b21_count,class_morph_sdist_b22_count,class_morph_adist_b22_count,class_morph_sdist_b23_count,class_morph_adist_b23_count,class_morph_rows_count,morph_px_fine_um,morph_px_coarse_um,morph_ds_fine,morph_tissue_threshold,morph_threshold_locked,morph_channels,morph_dist_bin_um,morph_ager_threshold,morph_damage_sigma_um,morph_damage_cutoff,morph_erode_um,morph_roi_thr,morph_n_blocks,morph_block_stride,morph_coverage_complete
IFNg KO(het) 26.03.25 m4-1 pr8 infection,IFNg KO(het) 26.03.25 m4-1 pr8 infection__morph__ds4__damaged_edge,parenchyma_damaged_edge,IFNg KO(het) 26.03.25 m4-1 pr8 infection,m4-1,IFNg_KO_het,PR8,LEFT@damaged_edge,morphometry.architecture,1364915.864257746,225873.6101113431,240491.56025985474,466365.17037119786,220830.83627167938,2270.0,0.0,70117.37304880374,111601.12397634478,12530.0,157736.0979153402,16894.0,110880.76950174122,12593.0,161976.92416459767,17362.0,1631759.0658763913,155421.0,42322.0,297952.73564679135,249347.2688228801,118608.0,251644.6327774658,126284.0,0.0,0.0,46958.0,56803.0,16716.0,15381.0,0.0,0.0,29066.0,27347.0,0.0,0.0,9953.0,9282.0,3189.0,2987.0,2835.0,3200.0,2638.0,3283.0,1372.0,1935.0,0.0,0.0,1476.0,2213.0,406.0,439.0,517.0,649.0,322.0,482.0,395.0,424.0,289.0,265.0,370.0,349.0,126.0,65.0,294.0,215.0,59.0,40.0,195.0,107.0,1432.0,818.0,1.0,1.3799894149490792,2.7599788298981585,4.0,440.0,true,0,0.5,150.0,40.0,0.14,40.0,305.6912415747549,29,4,true
IFNg KO(het) 26.03.25 m4-1 pr8 infection,IFNg KO(het) 26.03.25 m4-1 pr8 infection__morph__ds4__damaged_core,parenchyma_damaged_core,IFNg KO(het) 26.03.25 m4-1 pr8 infection,m4-1,IFNg_KO_het,PR8,LEFT@damaged_core,morphometry.architecture,2557714.6969336155,410218.60650608985,425457.3815306326,835675.9880367225,1937963.8860254553,4761.0,1428498.9960397296,132484.69771743758,213903.87927476768,24415.0,307935.11760949297,33639.0,215464.64730307492,24981.0,306444.09540312696,33463.0,2923935.9117007554,293788.0,70847.0,445148.1834750201,404143.68946481176,215409.0,410217.7349836586,223411.0,0.0,0.0,89121.0,103670.0,31200.0,28097.0,0.0,0.0,53837.0,48554.0,0.0,0.0,17841.0,16290.0,5537.0,5277.0,4821.0,5145.0,4479.0,5599.0,2232.0,2956.0,0.0,0.0,2338.0,3495.0,494.0,676.0,638.0,925.0,446.0,820.0,432.0,555.0,309.0,387.0,380.0,368.0,119.0,69.0,296.0,174.0,56.0,22.0,158.0,52.0,675.0,280.0,1.0,1.3799894149490792,2.7599788298981585,4.0,440.0,true,0,0.5,150.0,40.0,0.14,40.0,305.6912415747549,29,4,true
IFNg KO(het) 26.03.25 m4-1 pr8 infection,IFNg KO(het) 26.03.25 m4-1 pr8 infection__morph__ds4__intact_edge,parenchyma_intact_edge,IFNg KO(het) 26.03.25 m4-1 pr8 infection,m4-1,IFNg_KO_het,PR8,LEFT@intact_edge,morphometry.architecture,1806729.8864639343,306748.42862450005,314899.1355858901,621647.5642103901,309582.1323531328,2345.0,22555.36758194007,89131.98065178083,154368.37593503034,16538.0,217468.7113580641,22372.0,152393.61108223812,16647.0,226247.00701805652,22793.0,2175074.626334428,197899.0,46786.0,361121.7698888405,402622.4172409033,161076.0,338771.169920478,165356.0,0.0,0.0,58807.0,70210.0,21273.0,20455.0,0.0,0.0,37769.0,37308.0,0.0,0.0,14058.0,13037.0,4736.0,4162.0,4343.0,4286.0,4292.0,4699.0,2438.0,2562.0,0.0,0.0,2845.0,3164.0,688.0,612.0,1036.0,909.0,751.0,818.0,792.0,588.0,635.0,534.0,859.0,543.0,266.0,138.0,760.0,405.0,151.0,56.0,425.0,153.0,4152.0,717.0,1.0,1.3799894149490792,2.7599788298981585,4.0,440.0,true,0,0.5,150.0,40.0,0.14,40.0,305.6912415747549,29,4,true
IFNg KO(het) 26.03.25 m4-1 pr8 infection,IFNg KO(het) 26.03.25 m4-1 pr8 infection__morph__ds4__intact_core,parenchyma_intact_core,IFNg KO(het) 26.03.25 m4-1 pr8 infection,m4-1,IFNg_KO_het,PR8,LEFT@intact_core,morphometry.architecture,5.274438260459238E7,5732921.62102394,6915848.195548444,1.2648769816572385E7,4.7447725669306055E7,38916.0,4.246149640700157E7,1762686.8044524856,3355620.9010940543,319896.0,4876688.672280948,444284.0,3366591.8169429046,322310.0,4832008.747683396,441976.0,4.425661719972007E7,3915646.0,959570.0,7718298.327564874,6654935.114604535,3010402.0,7742872.765663071,3631566.0,0.0,0.0,1145077.0,1426693.0,412981.0,431507.0,0.0,0.0,737359.0,835273.0,0.0,0.0,267267.0,326076.0,84019.0,107063.0,77123.0,113613.0,76944.0,125536.0,40935.0,70379.0,0.0,0.0,47069.0,85845.0,10724.0,16443.0,14607.0,24288.0,11735.0,19851.0,10996.0,15136.0,8282.0,10936.0,10662.0,10345.0,2838.0,2134.0,8393.0,5653.0,1526.0,707.0,4207.0,1528.0,37658.0,2560.0,1.0,1.3799894149490792,2.7599788298981585,4.0,440.0,true,0,0.5,150.0,40.0,0.14,40.0,305.6912415747549,29,4,true
IFNg KO(het) 26.03.25 m4-2 pr8 no infection,IFNg KO(het) 26.03.25 m4-2 pr8 no infection__morph__ds4__damaged_edge,parenchyma_damaged_edge,IFNg KO(het) 26.03.25 m4-2 pr8 no infection,m4-2,IFNg_KO_het,naive,LEFT@damaged_edge,morphometry.architecture,306451.346781982,32667.576452262732,43712.92700741744,76380.50345968017,89299.75486764044,663.0,0.0,10680.326927604598,10269.881226051039,1062.0,12544.883170838202,1330.0,9204.529397710345,1033.0,11643.24408793103,1340.0,267246.7561789876,23620.0,17610.0,111305.20965350684,30525.788539457008,17154.0,36899.62657490574,22954.0,0.0,0.0,7723.0,12236.0,2394.0,2508.0,0.0,0.0,4044.0,4893.0,0.0,0.0,1349.0,1349.0,374.0,387.0,309.0,398.0,286.0,422.0,157.0,229.0,0.0,0.0,179.0,260.0,42.0,36.0,58.0,68.0,64.0,64.0,52.0,35.0,29.0,29.0,37.0,24.0,9.0,5.0,22.0,11.0,5.0,0.0,8.0,0.0,13.0,0.0,1.0,1.379989414949079,2.759978829898158,4.0,440.0,true,0,0.5,150.0,40.0,0.14,40.0,264.51614104626225,26,4,true
IFNg KO(het) 26.03.25 m4-2 pr8 no infection,IFNg KO(het) 26.03.25 m4-2 pr8 no infection__morph__ds4__damaged_core,parenchyma_damaged_core,IFNg KO(het) 26.03.25 m4-2 pr8 no infection,m4-2,IFNg_KO_het,naive,LEFT@damaged_core,morphometry.architecture,205245.46576419892,27908.55385961935,35499.375810110156,63407.92966972951,105517.37647586415,809.0,0.0,9133.354743838674,5874.614939438225,685.0,7464.869030562553,922.0,4660.224254283038,666.0,8147.928941855858,938.0,221857.1854426908,20152.0,17440.0,99197.90190432727,24430.559041330856,14655.0,26523.180531892525,18641.0,0.0,0.0,7122.0,10989.0,2060.0,2058.0,0.0,0.0,3247.0,3721.0,0.0,0.0,1004.0,822.0,263.0,202.0,238.0,206.0,276.0,210.0,123.0,116.0,0.0,0.0,119.0,145.0,20.0,16.0,33.0,43.0,16.0,33.0,25.0,31.0,18.0,20.0,26.0,22.0,10.0,1.0,22.0,6.0,6.0,0.0,12.0,0.0,15.0,0.0,1.0,1.379989414949079,2.759978829898158,4.0,440.0,true,0,0.5,150.0,40.0,0.14,40.0,264.51614104626225,26,4,true
IFNg KO(het) 26.03.25 m4-2 pr8 no infection,IFNg KO(het) 26.03.25 m4-2 pr8 no infection__morph__ds4__intact_edge,parenchyma_intact_edge,IFNg KO(het) 26.03.25 m4-2 pr8 no infection,m4-2,IFNg_KO_het,naive,LEFT@intact_edge,morphometry.architecture,688536.6836757786,73173.54305711457,90617.57945111752,163791.12250823207,162229.53846422746,936.0,11433.842195370493,21121.021503176384,24639.711003915778,2447.0,34931.68386353966,3197.0,24525.171882474995,2426.0,36785.7036227644,3490.0,573086.6412047875,46924.0,28693.0,204056.26370121987,89291.41613601593,38424.0,84352.97057151148,47584.0,0.0,0.0,14336.0,22796.0,4902.0,5620.0,0.0,0.0,8636.0,10892.0,0.0,0.0,3478.0,3105.0,1135.0,986.0,1184.0,1026.0,1258.0,971.0,736.0,602.0,0.0,0.0,895.0,684.0,196.0,131.0,290.0,210.0,206.0,165.0,202.0,142.0,173.0,85.0,171.0,89.0,50.0,12.0,138.0,44.0,20.0,4.0,46.0,9.0,372.0,11.0,1.0,1.379989414949079,2.759978829898158,4.0,440.0,true,0,0.5,150.0,40.0,0.14,40.0,264.51614104626225,26,4,true
IFNg KO(het) 26.03.25 m4-2 pr8 no infection,IFNg KO(het) 26.03.25 m4-2 pr8 no infection__morph__ds4__intact_core,parenchyma_intact_core,IFNg KO(het) 26.03.25 m4-2 pr8 no infection,m4-2,IFNg_KO_het,naive,LEFT@intact_core,morphometry.architecture,5.3626906113949224E7,4513381.613779883,7961062.10109959,1.2474443714879472E7,4.830331375827461E7,25422.0,4.442949602905389E7,1593327.2375998076,3704534.6647908445,275838.0,5329229.524710979,383951.0,3643115.475899703,274616.0,5327285.731363438,384036.0,4.364666985600038E7,3540992.0,1024671.0,9815656.472232651,4506845.2643604,2370012.0,1.0666167767236494E7,4180416.0,0.0,0.0,1007237.0,1382569.0,348948.0,445924.0,0.0,0.0,582831.0,957601.0,0.0,0.0,188495.0,420533.0,50460.0,145669.0,45657.0,161786.0,42393.0,187418.0,20877.0,111399.0,0.0,0.0,23854.0,143113.0,5245.0,28833.0,7355.0,43540.0,5825.0,37235.0,5402.0,29069.0,4222.0,21233.0,5278.0,21796.0,1448.0,4575.0,4273.0,13068.0,739.0,1749.0,2130.0,4126.0,17343.0,19180.0,1.0,1.379989414949079,2.759978829898158,4.0,440.0,true,0,0.5,150.0,40.0,0.14,40.0,264.51614104626225,26,4,true
