genotype,condition,panel,metric,n_mice,mean,sd,sem
IFNg_KO_het,PR8,LEFT@damaged,morph_compartment_area_mm2,1,3.922630561191361,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_measured_area_mm2,1,3.922630561191361,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_tissue_area_mm2,1,0.7280638036969498,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_tissue_fraction,1,0.1856060091154304,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_airspace_fraction,1,0.8143939908845695,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_finepass_coverage_of_compartment,1,1.0,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_mli_dir000_um,1,16.445431124021937,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_mli_dir045_um,1,17.486511940788883,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_mli_dir090_um,1,16.169325748254625,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_mli_dir135_um,1,17.31888968425386,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_mli_direct_um,1,16.855039624329827,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_mli_anisotropy_ratio,1,1.0814620357732876,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_mli_n_orientations,1,4.0,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_mli_indirect_um,1,27.267156380057838,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_chord_n_total,1,376225.0,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_chord_truncated_fraction,1,0.5063363722726962,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_chord_truncated_length_fraction,1,0.4403531421985338,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_wall_thickness_edmmean_um,1,5.03564190517076,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_wall_thickness_2a_over_b_um,1,3.2050089606894927,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_wall_thickness_edmmedian_um,1,3.5263052834135786,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_wall_dist_p90_um,1,2.3413436123348017,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_wall_estimator_ratio,1,1.5711787289628805,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_airspace_width_edmmean_um,1,11.816557376317537,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_airspace_width_edmmedian_um,1,9.005914376815845,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_boundary_length_density_per_um,1,0.11582245877746379,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_surface_density_per_um,1,0.14746973468392516,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_surface_density_mm2_per_mm3,1,147.46973468392517,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_perimeter_total_mm,1,454.3287164728061,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_airspace_component_count,1,5649.0,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_mean_airspace_component_area_um2,1,90.90277456786242,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_mean_airspace_component_eqdiam_um,1,10.758299461622562,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_confluent_airspace_fraction,1,0.030855040645582386,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_airspace_component_density_per_mm2,1,1440.1050294892707,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_lowairspace_fraction_of_compartment,1,0.0,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_n_slide_rows,1,2.0,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged,morph_airspace_dist_p90_um,1,6.269288552949428,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_compartment_area_mm2,1,0.3011724309649323,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_measured_area_mm2,1,0.3011724309649323,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_tissue_area_mm2,1,0.04888329368970108,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_tissue_fraction,1,0.16230998811240102,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_airspace_fraction,1,0.837690011887599,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_finepass_coverage_of_compartment,1,1.0,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_mli_dir000_um,1,20.48342129787862,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_mli_dir045_um,1,21.283790522835968,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_mli_dir090_um,1,19.987215615415046,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_mli_dir135_um,1,21.351235042764177,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_mli_direct_um,1,20.77641561972345,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_mli_anisotropy_ratio,1,1.0682445946246328,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_mli_n_orientations,1,4.0,0.0,0.0
IFNg_KO_het,PR8,LEFT@damaged_core,morph_mli_indirect_um,1,26.716231661537012,0.0,0.0
