mouse_id,genotype,condition,panel_key,pair,metric,damaged,intact,ratio,pct_change,log2_ratio,damaged_area_mm2,intact_area_mm2
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_tissue_fraction,0.11884686854064738,0.20172802955883176,0.5891440510302858,-41.08559489697142,-0.7633076657589319,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_airspace_fraction,0.8811531314593527,0.7982719704411684,1.1038257186612475,10.382571866124746,0.14251240520356276,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_mli_direct_um,19.26182189583078,17.283458073870193,1.1144657402184783,11.446574021847834,0.15635226740376318,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_mli_indirect_um,35.92799120751002,27.53402467050252,1.3048579580158521,30.485795801585212,0.3838927689259523,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_airspace_width_edmmean_um,15.92106527062888,12.75355474645299,1.2483629534782714,24.836295347827143,0.3200374494682722,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_airspace_width_edmmedian_um,9.560649442098962,9.343553731020009,1.023234811649684,2.3234811649684106,0.033137252346299134,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_wall_thickness_edmmean_um,3.8374701640197477,4.889233378002193,0.7848817733441454,-21.511822665585456,-0.3494527375143738,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_wall_thickness_edmmedian_um,3.330871894788115,3.6317233733191276,0.9171601337422193,-8.283986625778073,-0.12475444832275731,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_wall_thickness_2a_over_b_um,2.703752580317784,3.5230910529415147,0.7674376108049649,-23.256238919503513,-0.38187862419715474,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_surface_density_per_um,0.11193371308857575,0.1458083828411756,0.7676768023036203,-23.232319769637964,-0.38142904156177726,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_mli_anisotropy_ratio,1.127509663393149,1.0621757099169362,1.0615095533311734,6.150955333117336,0.08611735521077796,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_mean_airspace_component_eqdiam_um,15.627009149356878,34.53753449026591,0.45246452533434917,-54.75354746656509,-1.1441234101621551,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_vs_intact,morph_confluent_airspace_fraction,0.534903106681247,0.9155860028426263,0.584219401586011,-41.5780598413989,-0.7754178248627851,3.283599900452099,66.91280222047548
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_tissue_fraction,0.0792714212416624,0.19644255983094203,0.4035348618440076,-59.64651381559924,-1.3092347799050468,0.029692949285512447,7.108414360623637
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_airspace_fraction,0.9207285787583376,0.803557440169058,1.1458155107923937,14.581551079239375,0.196374772636463,0.029692949285512447,7.108414360623637
